Timestamp: 24.6265s. Il peer: 1.1.7.213 Unchoked: 1.1.8.41. Upload: 145.2bps, Download: 126bps; optimistically unchoked: 0
Timestamp: 24.6265s. Il peer: 1.1.7.213 Unchoked: 1.1.6.121. Upload: 145.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.6265s. Il peer: 1.1.7.213 Unchoked: 1.1.6.77. Upload: 145.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.721s. Il peer: 1.1.6.233 Unchoked: 1.1.8.133. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.721s. Il peer: 1.1.6.233 Unchoked: 1.1.6.117. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.9011s. Il peer: 1.1.6.209 Unchoked: 1.1.6.93. Upload: 148.8bps, Download: 152bps; optimistically unchoked: 0
Timestamp: 24.9011s. Il peer: 1.1.6.209 Unchoked: 1.1.7.53. Upload: 148.8bps, Download: 144.4bps; optimistically unchoked: 0
Timestamp: 24.9016s. Il peer: 1.1.7.245 Unchoked: 1.1.5.237. Upload: 152.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.9016s. Il peer: 1.1.7.245 Unchoked: 1.1.7.221. Upload: 152.4bps, Download: 154.8bps; optimistically unchoked: 0
Timestamp: 24.9016s. Il peer: 1.1.7.245 Unchoked: 1.1.7.13. Upload: 152.4bps, Download: 125.6bps; optimistically unchoked: 0
Timestamp: 24.9016s. Il peer: 1.1.7.245 Unchoked: 1.1.8.69. Upload: 152.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.9016s. Il peer: 1.1.7.245 Unchoked: 1.1.6.109. Upload: 152.4bps, Download: 107.6bps; optimistically unchoked: 1
Timestamp: 24.9398s. Il peer: 1.1.6.157 Unchoked: 1.1.8.161. Upload: 294.4bps, Download: 131311bps; optimistically unchoked: 0
Timestamp: 24.9398s. Il peer: 1.1.6.157 Unchoked: 1.1.8.109. Upload: 148.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.9398s. Il peer: 1.1.6.157 Unchoked: 1.1.6.193. Upload: 148.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 25.0934s. Il peer: 1.1.7.245 Unchoked: 1.1.7.133. Upload: 156bps, Download: 162.8bps; optimistically unchoked: 0
Timestamp: 25.125s. Il peer: 1.1.7.213 Unchoked: 1.1.5.181. Upload: 341216bps, Download: 504.4bps; optimistically unchoked: 0
Timestamp: 25.125s. Il peer: 1.1.7.213 Unchoked: 1.1.7.121. Upload: 156bps, Download: 107.6bps; optimistically unchoked: 1
Timestamp: 25.235s. Il peer: 1.1.7.201 Unchoked: 1.1.7.209. Upload: 164bps, Download: 152.8bps; optimistically unchoked: 0
Timestamp: 25.4091s. Il peer: 1.1.6.109 Unchoked: 1.1.7.253. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 25.5001s. Il peer: 1.1.7.121 Unchoked: 1.1.7.253. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 25.6206s. Il peer: 1.1.7.245 Unchoked: 1.1.8.41. Upload: 159.6bps, Download: 170bps; optimistically unchoked: 0
Timestamp: 25.6206s. Il peer: 1.1.7.245 Unchoked: 1.1.6.77. Upload: 159.6bps, Download: 122bps; optimistically unchoked: 0
Timestamp: 25.6215s. Il peer: 1.1.7.77 Unchoked: 1.1.8.33. Upload: 152.4bps, Download: 125.6bps; optimistically unchoked: 0
Timestamp: 25.6215s. Il peer: 1.1.7.77 Unchoked: 1.1.5.209. Upload: 152.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 25.6215s. Il peer: 1.1.7.77 Unchoked: 1.1.6.141. Upload: 152.4bps, Download: 147.6bps; optimistically unchoked: 0
Timestamp: 25.6215s. Il peer: 1.1.7.77 Unchoked: 1.1.5.205. Upload: 152.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 25.7776s. Il peer: 1.1.7.65 Unchoked: 1.1.7.73. Upload: 166.8bps, Download: 178bps; optimistically unchoked: 0
Timestamp: 26.0486s. Il peer: 1.1.7.253 Unchoked: 1.1.5.241. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 26.0647s. Il peer: 1.1.7.253 Unchoked: 1.1.7.189. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 26.0648s. Il peer: 1.1.7.253 Unchoked: 1.1.6.13. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 26.068s. Il peer: 1.1.6.189 Unchoked: 1.1.7.61. Upload: 167.2bps, Download: 163.6bps; optimistically unchoked: 0
Timestamp: 26.0727s. Il peer: 1.1.6.201 Unchoked: 1.1.7.65. Upload: 267.2bps, Download: 161.6bps; optimistically unchoked: 0
Timestamp: 26.0727s. Il peer: 1.1.6.201 Unchoked: 1.1.6.237. Upload: 163.2bps, Download: 107.6bps; optimistically unchoked: 0
